iter	Passed	Remaining
0	32	32241
1	59	29477
2	86	28796
3	110	27437
4	150	29984
5	217	35965
6	250	35514
7	283	35208
8	322	35504
9	355	35173
10	385	34671
11	423	34852
12	519	39440
13	562	39592
14	584	38351
15	607	37342
16	630	36477
17	653	35676
18	675	34894
19	697	34175
20	720	33607
21	745	33143
22	767	32620
23	790	32157
24	813	31723
25	837	31368
26	860	31002
27	883	30677
28	908	30402
29	929	30057
30	953	29798
31	975	29516
32	1003	29418
33	1029	29247
34	1052	29019
35	1075	28810
36	1099	28611
37	1122	28412
38	1144	28211
39	1168	28035
40	1191	27873
41	1213	27687
42	1235	27505
43	1259	27358
44	1281	27204
45	1303	27039
46	1327	26919
47	1350	26785
48	1373	26655
49	1395	26519
50	1419	26410
51	1441	26279
52	1464	26160
53	1486	26038
54	1510	25946
55	1532	25827
56	1554	25718
57	1585	25758
58	1610	25680
59	1632	25583
60	1657	25516
61	1680	25417
62	1702	25327
63	1726	25247
64	1748	25150
65	1771	25068
66	1794	24987
67	1817	24908
68	1841	24841
69	1863	24757
70	1887	24692
71	1910	24622
72	1933	24549
73	1955	24466
74	1978	24395
75	2001	24333
76	2023	24257
77	2046	24193
78	2068	24120
79	2092	24058
80	2115	24002
81	2137	23929
82	2160	23870
83	2184	23819
84	2208	23774
85	2232	23726
86	2254	23663
87	2276	23593
88	2298	23531
89	2320	23465
90	2342	23399
91	2365	23342
92	2387	23282
93	2410	23230
94	2433	23184
95	2456	23132
96	2479	23079
97	2501	23021
98	2523	22968
99	2545	22911
100	2569	22868
101	2592	22827
102	2616	22785
103	2640	22750
104	2663	22706
105	2686	22656
106	2708	22603
107	2731	22562
108	2754	22513
109	2775	22457
110	2798	22411
111	2820	22362
112	2844	22330
113	2868	22292
114	2891	22252
115	2913	22204
116	2938	22178
117	2961	22133
118	2984	22098
119	3008	22059
120	3032	22031
121	3053	21976
122	3076	21932
123	3098	21886
124	3120	21842
125	3144	21812
126	3166	21769
127	3189	21730
128	3215	21710
129	3233	21641
130	3252	21575
131	3271	21511
132	3293	21467
133	3316	21431
134	3339	21397
135	3363	21365
136	3385	21327
137	3408	21293
138	3430	21250
139	3450	21197
140	3474	21167
141	3496	21125
142	3519	21091
143	3543	21062
144	3567	21037
145	3587	20982
146	3609	20946
147	3631	20906
148	3650	20851
149	3673	20816
150	3692	20762
151	3712	20710
152	3731	20659
153	3751	20609
154	3771	20558
155	3790	20506
156	3809	20456
157	3828	20404
158	3848	20357
159	3868	20310
160	3888	20262
161	3907	20215
162	3927	20165
163	3946	20118
164	3965	20068
165	3985	20021
166	4004	19973
167	4023	19927
168	4043	19881
169	4063	19838
170	4082	19792
171	4102	19748
172	4122	19708
173	4143	19667
174	4163	19626
175	4182	19582
176	4203	19545
177	4260	19673
178	4282	19639
179	4302	19600
180	4323	19563
181	4344	19527
182	4366	19494
183	4387	19457
184	4408	19421
185	4430	19387
186	4450	19350
187	4471	19314
188	4493	19279
189	4513	19241
190	4534	19205
191	4554	19167
192	4579	19147
193	4599	19111
194	4621	19079
195	4642	19043
196	4663	19008
197	4684	18974
198	4706	18945
199	4729	18916
200	4749	18880
201	4770	18844
202	4831	18968
203	4893	19092
204	4930	19120
205	4964	19136
206	5008	19186
207	5036	19177
208	5063	19163
209	5086	19135
210	5108	19102
211	5130	19069
212	5150	19031
213	5171	18995
214	5194	18966
215	5215	18931
216	5236	18893
217	5262	18878
218	5283	18840
219	5303	18803
220	5324	18767
221	5345	18732
222	5366	18697
223	5386	18658
224	5406	18621
225	5426	18583
226	5446	18546
227	5466	18508
228	5486	18473
229	5507	18439
230	5528	18402
231	5548	18366
232	5581	18372
233	5606	18352
234	5627	18318
235	5647	18283
236	5667	18247
237	5688	18211
238	5708	18174
239	5731	18148
240	5751	18113
241	5771	18077
242	5794	18052
243	5815	18019
244	5835	17983
245	5856	17950
246	5876	17916
247	5897	17883
248	5918	17849
249	5938	17816
250	5960	17785
251	5980	17751
252	6000	17717
253	6020	17682
254	6040	17648
255	6061	17615
256	6081	17581
257	6102	17550
258	6122	17517
259	6143	17486
260	6164	17454
261	6185	17422
262	6205	17388
263	6225	17356
264	6248	17330
265	6270	17303
266	6290	17270
267	6311	17238
268	6331	17205
269	6351	17173
270	6372	17141
271	6392	17108
272	6412	17076
273	6432	17044
274	6453	17013
275	6475	16985
276	6495	16953
277	6515	16922
278	6536	16890
279	6556	16859
280	6578	16832
281	6598	16801
282	6620	16772
283	6640	16741
284	6661	16712
285	6682	16683
286	6704	16654
287	6723	16621
288	6744	16593
289	6765	16563
290	6787	16538
291	6810	16514
292	6832	16486
293	6853	16458
294	6873	16427
295	6895	16400
296	6918	16375
297	6939	16347
298	6962	16322
299	6982	16293
300	7003	16264
301	7025	16236
302	7046	16209
303	7067	16179
304	7086	16147
305	7106	16117
306	7126	16087
307	7146	16057
308	7166	16026
309	7186	15996
310	7206	15966
311	7227	15937
312	7247	15907
313	7267	15877
314	7287	15847
315	7307	15817
316	7327	15788
317	7347	15758
318	7368	15729
319	7388	15699
320	7408	15671
321	7428	15642
322	7449	15613
323	7469	15583
324	7489	15554
325	7509	15525
326	7529	15496
327	7549	15466
328	7569	15437
329	7591	15413
330	7612	15385
331	7632	15356
332	7652	15327
333	7673	15300
334	7693	15271
